-1606 -2064 red
3559 -4540 green
-3311 4507 blue
3079 1226 purple
-1983 -3677 red
2463 -3834 green
-2912 3741 blue
4591 -387 purple
-4437 -2975 red
633 -2972 green
-722 110 blue
1102 4396 purple
-3222 -406 red
1356 -913 green
-1283 463 blue
-1251 -4449 purple
-2172 -1850 red
3885 -3840 green
-836 -449 blue
1054 512 purple
-2353 -4314 red
4787 -1343 green
-1755 1648 blue
559 2220 purple
-2073 -425 red
-381 -2443 green
-4688 2918 blue
4295 4421 purple
-454 -3331 red
1871 -4261 green
-2110 3638 blue
437 3237 purple
-3585 -1654 red
1304 -4648 green
-361 3371 blue
-420 4970 purple
-3966 -2371 red
3727 -2001 green
-1795 3779 blue
-634 -4292 purple
-2099 -1224 red
-170 -443 green
2109 -3344 blue
2629 1158 purple
-3638 -711 red
-178 -1388 green
-97 4929 blue
916 4080 purple
-2881 -3107 red
2209 -4247 green
-2062 -148 blue
916 2143 purple
-2568 -1491 red
-369 -3124 green
-4650 1381 blue
3587 4408 purple
-1497 -3052 red
1535 -3890 green
-4162 3925 blue
2981 -196 purple
179 -631 red
1707 -4518 green
-4313 1901 blue
2416 1550 purple
-1582 -4927 red
3117 -4690 green
-1766 1471 blue
1859 864 purple
-1069 -2927 red
-203 -1566 green
-2451 336 blue
1879 872 purple
437 -18 red
-373 -1830 green
-4741 1809 blue
1534 2339 purple
-4394 348 red
1798 -3458 green
-1361 23 blue
1771 1685 purple
-3175 -4757 red
3285 -26 green
-890 4361 blue
-14 1450 purple
77 -4193 red
1298 -917 green
490 3553 blue
2203 4817 purple
-1531 -4755 red
-141 -3131 green
232 1375 blue
2141 -270 purple
-3806 239 red
4527 -2580 green
-2641 1800 blue
4416 2945 purple
-4071 -1519 red
4103 -2270 green
-4424 4875 blue
3894 1073 purple
-782 -693 red
159 -3352 green
-1830 2433 blue
3939 3124 purple
-1741 -4539 red
681 -4021 green
-3020 4363 blue
1317 4821 purple
1224 644 red
2577 -989 green
-3508 280 blue
-190 4270 purple
488 -4229 red
439 -1897 green
-4898 3159 blue
2768 3406 purple
-987 -2159 red
2961 -4560 green
-843 931 blue
4120 2754 purple
-4555 -3658 red
4446 -3222 green
-308 1938 blue
2031 2575 purple
467 195 red
2197 -3127 green
-1009 4255 blue
1454 3132 purple
-1611 -1277 red
1858 -1453 green
-1274 3902 blue
4667 1635 purple
-2524 -2340 red
4018 -3039 green
-853 2531 blue
2063 -421 purple
-3524 -4259 red
2423 -4372 green
-2025 492 blue
560 1628 purple
-1160 -3161 red
1177 -644 green
-3161 1917 blue
1888 -40 purple
-4839 -1285 red
4176 -1689 green
-1023 992 blue
184 4564 purple
-1620 -2449 red
1764 -1634 green
-3382 2782 blue
4683 2969 purple
-2903 -4970 red
3592 -2615 green
-2531 -476 blue
4274 2311 purple
-4709 -4825 red
3706 -137 green
3322 -2227 blue
2382 4446 purple
-3309 384 red
-413 -4886 green
-4064 427 blue
3891 2018 purple
-562 -4100 red
2305 -4874 green
-1842 3118 blue
273 3758 purple
-1905 -2505 red
1522 -2293 green
228 4612 blue
4688 910 purple
-4994 -4067 red
2018 -4809 green
-81 2747 blue
119 3153 purple
-3217 -2164 red
2452 -486 green
-4312 1709 blue
1867 3810 purple
-4492 -97 red
3375 -46 green
-1765 4605 blue
796 4700 purple
-2032 -1987 red
2345 388 green
-3997 1268 blue
4853 4652 purple
-3980 -1089 red
3556 -4651 green
-1826 366 blue
399 4358 purple
-1663 -1083 red
3242 -3737 green
-1746 1671 blue
2865 1863 purple
-3959 -304 red
2498 -3970 green
500 4910 blue
3206 4349 purple
-1503 -807 red
-125 -2793 green
-223 1541 blue
4095 243 purple
-3056 -3269 red
4843 -3604 green
-3333 1679 blue
-214 4590 purple
-1916 -4356 red
-394 -2210 green
-1431 388 blue
554 3427 purple
-1020 -3629 red
714 -2640 green
-1127 2784 blue
179 4507 purple
-764 -1054 red
-200 47 green
-3093 1044 blue
2146 -205 purple
-158 -2122 red
3149 -4921 green
-1706 1945 blue
4260 1417 purple
-2489 -3826 red
3064 -3502 green
-4765 2885 blue
3226 3517 purple
-575 -448 red
-238 -2942 green
-4263 1164 blue
-376 522 purple
-2307 -4353 red
1332 -3677 green
-2837 4878 blue
-214 4112 purple
151 -2798 red
4365 -2295 green
-577 4819 blue
1067 2876 purple
-4832 386 red
569 -1168 green
-502 953 blue
1189 758 purple
-3074 181 red
3761 -3151 green
-2894 4351 blue
465 2913 purple
-306 453 red
579 -2743 green
-1930 1156 blue
1415 1667 purple
-540 -2533 red
3184 -3164 green
-4749 2042 blue
1966 496 purple
-4567 -4558 red
2936 -4877 green
-4728 1561 blue
3368 4166 purple
-1178 -4094 red
4408 151 green
-4794 -40 blue
1581 128 purple
-2638 -3264 red
744 -4026 green
-3681 2650 blue
1923 3609 purple
-3671 -696 red
374 -2871 green
196 3134 blue
1347 750 purple
185 -4976 red
-56 -2803 green
-3047 3171 blue
1488 1807 purple
-2159 -2653 red
1333 -1798 green
-392 -19 blue
3379 3100 purple
105 -1929 red
2941 -4467 green
-3725 2789 blue
119 2724 purple
393 -2426 red
2399 -2109 green
-4745 2577 blue
1877 4877 purple
438 -4762 red
1675 -405 green
-2886 1488 blue
3341 4815 purple
-613 -2465 red
4542 -4083 green
-1509 2920 blue
2541 2193 purple
-4764 427 red
1231 -1980 green
-490 1150 blue
